,0,1,2,3,4
0,0.2536924113333283,0.6841840838746278,0.9874418986684935,0.5242175891040688,0.6186342838829109
1,0.10469084884449309,0.24997779180673196,0.6623698573904362,0.06292706596996112,0.6949322764864205
2,0.6612057664812565,0.7121823844206507,0.5864503472124641,0.8575914292747074,0.5715764820454388
3,0.9959839526436639,0.5218004471564698,0.11651627954068589,0.02543311663637582,0.46589218083128603
4,0.9330773503951745,0.1392305381701735,0.856298639110567,0.26772195118627684,0.3690705016997703
5,0.7491074043739714,0.7517960542850137,0.8316039526176571,0.8506557212391624,0.2660927993120551
6,0.4437887485477776,0.03784055960978838,0.24132702765144642,0.2785099580163556,0.7479767269309514
7,0.2963506877466784,0.2628641492548929,0.7731214138122314,0.41374530349672445,0.5819156193588018
8,0.6671110244906815,0.30597439806773297,0.47265208380737933,0.23359647267288897,0.3668122357151429
9,0.17150230697391533,0.7944884587679611,0.25971538632413627,0.41132603096292586,0.9428990198557932
